дария	river
umuhiigi	hunter
hiigi	hunter
gukama	milk
gukama	squeeze
kama	milk
kama	squeeze
kuma	become dry
kuma	dry up
ma	become dry
ma	dry up
ikyumye	dry
umye	dry
gutoba	knead
toba	knead
vi	knee
ivi	knee
guhiiga	hunting
uguhiiga	hunting
kotsa	roast
hagati	inside
kureeba	examine
kureeba	look at
reeba	examine
reeba	look at
kureba iyi n’iyi	look round
reba iyi n’iyi	look round
twe	head
umutwe	head
inkono y’itabi	tobacco pipe
kono y’itabi	tobacco pipe
itotomba	grumble
itotomba	grunt
kwitotomba	grumble
kwitotomba	grunt
imbyiro	soot
byiro	soot
rizo	tail
umurizo	tail
inkyima	monkey
kyima	monkey
ikyiremu	colobus monkey
iremu	colobus monkey
inkobe	ape
inkobe	baboon
kobe	ape
kobe	baboon
kwiyereka	dance
iyereka	dance
kugira	do
gira	do
mara	complete
mara	do
mara	finish
kumara	complete
kumara	do
kumara	finish
kubora	rot
kubora	become bad
kubora	become rotten
bora	rot
bora	become bad
bora	become rotten
guhera	grind coarsely
hera	grind coarsely
igikoma	gruel
koma	gruel
igikoma	porridge
koma	porridge
gati	bread
umugati	bread
ingigira	tree-trunk
gigira	tree-trunk
imitegano	distress
imitegano	hardship
mitegano	distress
mitegano	hardship
imigeri	tramp of feet
migeri	tramp of feet
ijosi	neck
josi	neck
umutsi	vein
tsi	vein
omuramu	brother-in-law
omuramu	sister-in-law
ramu	brother-in-law
ramu	sister-in-law
sobukwe	father-in-law
sobukwe	mother-in-law
inkono	mug
inkono	pot
kono	mug
kono	pot
kubara	count
bara	count
inkono	cooking pot
kono	cooking pot
ichombo	pot
ichombo	vessel
chombo	pot
chombo	vessel
igikopo	pot
kopo	pot
isafuria	pan
safuria	pan
umwuko indoshyo	vessel
uko indoshyo	vessel
amabyi	dung
amabyi	excrement
mabyi	dung
mabyi	excrement
kubyaara	give birth
byaara	give birth
umubyeyi	parent
byeyi	parent
umuryango	offspring
ryango	offspring
umwanda	dirt
anda	dirt
ibara	speckle
ibara	spot
bara	speckle
bara	spot
umwanda	filth
anda	filth
ibishingwe	garbage
ibishingwe	rubbish
bishingwe	garbage
bishingwe	rubbish
umutumbi	corpse
tumbi	corpse
byina	dance
kubyina	dance
ukuboko	arm
ukuboko	hand
kuboko	arm
kuboko	hand
boma	pump
iboma	pump
ubwonko	brain
bwonko	brain
umubu	mosquito
bu	mosquito
ubusunyu	raphia palm
busunyu	raphia palm
imbwa	dog
bwa	dog
ibuye	stone
buye	stone
urutagangurwa	spider
tagangurwa	spider
hene	goat
ihene	goat
kubumba	mould
bumba	mould
buto	seed
imbuto	seed
itaka	soil
taka	soil
itanda	borassus palm
tanda	borassus palm
ubutaka	earth
ubutaka	land
butaka	earth
butaka	land
imbogo	buffalo
bogo	buffalo
kuvanganya	mix
kuvanganya	put together
vanganya	mix
vanganya	put together
kuvanga	mix
vanga	mix
kuvuruga	mix
kuvuruga	stir
vuruga	mix
vuruga	stir
vi	white hair
invi	white hair
vura	rain
invura	rain
vuna	break
vuna	snap
kuvuna	break
kuvuna	snap
kuvumbura	stir up
vumbura	stir up
kuvunjavunja	crumple
vunjavunja	crumple
urukindo	oil palm
kindo	oil palm
gupfuka	wrap up
pfuka	wrap up
gutega	bait
tega	bait
urukindo	date palm
kindo	date palm
huura	meet
guhuura	meet
kwishiima	become cheerful
ishiima	become cheerful
kunezerwa	be pleased
nezerwa	be pleased
umusenyi	sand
senyi	sand
kunama	bend down
kunama	lean
kunama	slope
nama	bend down
nama	lean
nama	slope
ubutaka	land
taka	land
gy~ewe	I
wowe	you
tw~ebw~e	we
mw~e	one
bili	two
umunhu	person
ifi	fish
imbw~o	dog
indo	louse
ikibobi	leaf
uruhu	skin
omoroso	blood
igufw~o	bone
ihembe	horn
ugutw~i	ear
ijiSo	eye
izuru	nose
iry~i5o	tooth
urulimi	tongue
ivi	knee
iTigonzo	hand
igituzo	breast
umw~ijimo	liver
ku5wo	drink
kuroro	see
kumvo	hear
gupf~o	die
kuzo	come
izubo	sun
i5e5eri	star
omozi	water
ibuye	stone
umuliro	fire
inziro	path
umusozi	mountain
kuzuro	full
Sy~o	new
izino	name
kure	far
-ose	all
-kara	black
-a mbere	first
-iza	good
-atsi	green
-keye	light
-oroshye	light
-re-re	long
-inshi	many
-shya	new
-tuku	red
iburyo	right
-kwiye	right
-ke	small
-eru	white
inyuma	back
hano	here
ubu	now
gusa	only
hariya	there
neza	well
na	and
kubera ko	because
mbere	before
-te	how
niba	if
ko	that
ryari	when
-gongo	back
-nsi	day
-bwa	dog
-ryango	door
-jisho	eye
papa	father
-riro	fire
-ganza	hand
-twe	head
-fasha	help
-zu	house
-rumuri	light
-tara	light
-kundo	love
-gabo	man
-faranga	money
mama	mother
-zina	name
-joro	night
-vura	rain
-ti	tree
-zi	water
-aka	year
mo	in
muri	in
nka	like
munsi	under
hamwe na	with
-fite	with
na	with
jye	I
uwo	that
-no	this
twe	we
-he	what
-za	come
-kora	do
-gwa	fall
-guruka	fly
-ha	give
-gira	have
-komeza	keep
-shimishwa	like
-kora	make
-kina	play
-shyira	put
-iruka	run
-vuga	say
-bona	see
-cara	sit
-sinzira	sleep
-hagarara	stop
-twara	take
-kora	work
Ubudage Bwiyunze	Federal Republic of Germany
Burundi	Burundi
Ibirwa bya Kuke	Cook Islands
Ubudagi	Germany
Kwakabiri	Tuesday
Repubulika ya Dominikani	Dominican Republic
ukwezi kwa kabiri	February
Gashyantare	February
Amahoro Masa	Greenpeace
intangiriro	main page
Hongo Kongo	Hong Kong
Ubuhinde	India
Repebulika y'Ubuyisilamu ya Afuganisitani	Islamic Republic of Afghanistan
Mutarama	January
yuma	knife
Wagadugu	Ouagadougou
Repebulika y'Alubaniya	Republic of Albania
Repebulika y'Angola	Republic of Angola
Repubulika y'u Azeribayijani	Republic of Azerbaijan
Repubulika y'u Rwanda	Republic of Rwanda
urubingo	sedge
urubingo	cane
urubingo	reed
bingo	sedge
bingo	cane
bingo	reed
Mutagatifu Visenti na Gerenadine	Saint Vincent and the Grenadines
nyamaswa	beast
nyamaswa	animal
koko	beast
koko	animal
itsembabwoko	genocide
jenoside	genocide
inkoranyamagambo	dictionary
Repubulika ya Santara Afurika	Central African Republic
gufundu	eat
Leta Zunze Ubumwe z’Amerika	United States of America
ukwezi kwa mbere	January
Mutarama	January
Umuryango w’Abibumye	United Nations
kwagatandatu	Saturday
ka	cow
ejo	tomorrow
zovu	elephant
yuki	bee
ezi	month
neke	banana
yanya	tomato
juru	sky
ikirayi	potato
genda	go
genda	travel
genda	drive
genda	fare
genda	wend
genda	ride
ikinga	bike
ikinga	bicycle
ezi	moon
zoka	serpent
zoka	snake
ganza	hand
ganza	arm
nyamasyo	turtle
nyamasyo	tortoise
ejo	yesterday
Accra	Accra
Afuganisitani	Afghanistan
Azia	Asia
Ositiriya	Austria
Ububirigi	Belgium
Danimarike	Denmark
Icyongereza	English
Urwandiko rw’Abefeso	Ephesians
Ibirwa bya Farowe	Faroe Islands
Kwagatanu	Friday
ikidage	German
Imana	God
Isilande	Iceland
Igitabo cy’Abacamanza	Judges
Ikinyarwanda	Kinyarwanda
Megizike	Mexico
Kwambere	Monday
Kwagatandatu	Saturday
Kwamungu	Sunday
Suwede	Sweden
Tanzaniya	Tanzania
Kwakane	Thursday
Kwakabiri	Tuesday
Kwagatatu	Wednesday
Wikipediya	Wikipedia
limwe	one
kabili	two
gatatu	three
kane	four
gatanu	five
gatandatu	six
kalindwi	seven
umunani	eight
icyenda	nine
icumi	ten
uruyuki	bee
inyoni	bird
isabukuru	birthday
amaraso	blood
ikizibaho	blouse
igufwa	bone
igitabo	book
cupa	bottle
icupa	bottle
isutiye	bra
umweyo	broom
umukubuzo	broom
imbegeti	bucket
amavuta	butter
ikinyugunyugu	butterfly
ishu	cabbage
caravaneer	caravan
caravan	caravan
inyumbati	cassava
ifromaje	cheese
cempedak	chempedak
akananwa	chin
isaha	clock
ibigicu	cloud
ikawa	coffee
mudasobwa	computer
umurambo	corpse
intumbi	corpse
inka	cow
imvuvu	dandruff
bwa	dog
duriyani	durian
ugutwi	ear
igi	egg
inkokora	elbow
inzovu	elephant
ijisho	eye
jisho	eye
ingohe	eyelash
so	father
gatanu	five
ifu	flour
inshuti	friend
ikibonezamvugo	grammar
inyundo	hammer
umushwara	handkerchief
umutima	heart
ubuki	honey
ifarashi	horse
ubutare	iron
ichyuma	iron
igifenesi	jackfruit
uruberwa	kenaf
igikoni	kitchen
imbugita	knife
urumini	language
urukundo	love
kanseri yo mu bihaha	lung cancer
gusasa	make the bed
igicuku	midnight
igitangaza	miracle
indorerwamo	mirror
amafaranga	money
igitondo	morning
mama	mother
umushushwe	mouse
imbeba	mouse
umunwa	mouth
inyanja	ocean
rimwe	one
ikote	overcoat
inteko ishinga amategeko	parliament
marakuja	passion fruit
farumasi	pharmacy
ikimera	plant
imvura	rain
fulari	shawl
ijipo	shirt
umwotsi	smoke
yiko	spoon
mukaso	stepmother
inkere	strawberry
isukari	sugar
izuba	sun
bombo	sweet
ikijumba	sweet potato
icyayi	tea
ikibero	thigh
igiti	tree
ubuntu	ubuntu
umuhengeri	violet
ikirunga	volcano
ikiziga	wheel
umutende	wheel
umuyaga	wind
idirishya	window
yawurute	yogurt
Adamu	Adam
Ubudage	Germany
Andora	Andorra
Burundi	Burundi
Danemarke	Denmark
Doha	Doha
Ubuhindi	India
Nijeriya	Nigeria
Umuryango w’Abibumye	UN
Umuryango w’Abibumye	United Nations
U Buholandi	Netherlands
Rwanda	Rwanda
Repebulika y’Ubuyisilamu ya Afuganisitani	Islamic Republic of Afghanistan
Yokohama	Yokohama
yuki	bee
aka	year
pongo	antelope
ti	tree
nawe	too
Mata	April
sikaneri	scanner
neke	banana
zoga	beer
zoga	bier
bogobogo	blue
mwiriwe	good day
mwiriwe	good afternoon
mwiriwe	good morning
mwiriwe	hello
mwaramutse	good day
mwaramutse	good afternoon
mwaramutse	good morning
mwaramutse	hello
ijoro ryiza	good night
calcaire	limestone
humyo	mushroom
humyo	mold
humyo	toadstool
humyo	mould
ririmba	sing
ririmba	chant
jangwe	cat
agacurama	bat
agacurama	bat
bwa	doggy
bwa	hound
bwa	dog
umubare	numeral
umubare	cipher
umubare	figure
umubare	digit
bare	numeral
bare	cipher
bare	figure
bare	digit
hene	she-goat
hene	nanny goat
dimu	lime
dimu	lemon
sozi	hill
sozi	hillock
curuzi	trader
curuzi	dealer
curuzi	tradesman
curuzi	shopkeeper
curuzi	businessman
curuzi	merchant
teka	cook
byina	dance
amenyo	tooth
amenyo	prong
amenyo	teeth
amenyo	cog
kuva	from
kuva	for
kuva	since
vuga	tell
vuga	say
toki	finger
toki	digit
tanga	donate
tanga	give
sinzira	sleep
sinzira	be asleep
zi	water
ana	infancy
ana	childhood
muhira	nuclear family
muhira	family
sano	family
naniro	weariness
naniro	fatigue
kobwa	daughter
kobwa	girl
rabo	blossom
rabo	flower
rabo	bloom
shyamba	timberland
shyamba	forest
shyamba	woodland
shyamba	wood
swa	emmet
swa	ant
swa	pismire
kere	strawberry
buto	fruit
ukwezi kwa kabiri	February
Gashyantare	February
hembwa	acquire
hembwa	enroll
hembwa	profit
hembwa	obtain
hembwa	earn a living
hembwa	get
hembwa	enrol
hembwa	woo
hembwa	secure
hembwa	beat
hembwa	canvass
hembwa	gain
hembwa	enlist
hembwa	recruit
hembwa	reach
hembwa	earn
hembwa	win
hembwa	accrue
hembwa	attract
hembwa	rally
vi	knee
vi	lap
tura	reside
tura	stay
tura	inhabit
tura	dwell
tura	live
atsi	grass
atsi	herb
saha	hour
guru	paw
guru	shank
guru	leg
ukwezi kwa mbere	January
Mutarama	January
kwakane	Thursday
nsi	day
ta	milk
ku wa mbere	Monday
ku wa kabiri	Tuesday
ku wa gatatu	Wednesday
ku wa kane	Thursday
ku wa gatanu	Friday
ku wa gatandatu	Saturday
ku cyumweru	Sunday
Mutarama	January
Gashyantare	February
Werurwe	March
Mata	April
Gicurasi	May
Kamena	June
Nyakanga	July
Kanama	August
Nzeli	September
Ukwakira	October
Ugushyingo	November
Ukuboza	December
Afurika	Africa
Amerika	America
Aziya	Asia
Uburayi	Europe
amahoro	peace
nimuhóre	peace
Adamu na Eva	Adam and Eve
kaminuza	university
kinyaRwanda	Rwanda
kwavu	rabbit
kwavu	cony
kwavu	bunny
tabo	book
kuwa mbere	Monday
panga	machete
ganza	hand
aliko	but
kwakabiri	Tuesday
kurongora	wed
kurongora	marry
Werurwe	March
tondo	morning
kwagatatu	Wednesday
ezi	month
sazi	fly
muharramu	Muharram
pfa	pass away
pfa	die
pfa	expire
tama	sheep
kuba	increase
kuba	multiply
koga	swim
zuru	nose
irabura	black
oya	nope
oya	nay
oya	no
ibicu	cloud
cu	cloud
joro	night
inkongoro	scavenger
inkongoro	necrophage
musasobwa	computer
gati	bread
horo	peace
umutaka	umbrella
to	little
to	short
to	small
ke	little
ke	few
oba	fear
renge	paw
renge	foot
rira	weep
rira	cry
fi	fish
ikirayi	potato
ikirayi	spud
tunga	possess
tunga	own
basha	may
basha	can
basha	be able to
shobora	may
shobora	can
shobora	be able to
ko	since
rizo	stalk
rizo	line
rizo	brush
rizo	queue
rizo	stem
ruhuka	relax
ruhuka	repose
ruhuka	rest
kire	wealthy
kire	well-to-do
kire	well-off
kire	affluent
kire	rich
seka	laugh
kwagatandatu	Saturday
raso	blood
nta	without
nta	-less
zima	health
sabuni	soap
seriveri	server
porogisi	proxy server
sa	exclusively
sa	just
sa	merely
sa	but
sa	simply
sa	solely
sa	only
guge	ape
guge	primate
guge	monkey
saka	sorghum
shiki	sister
umushiki	sister
hengeri	tempest
hengeri	gale
hengeri	storm
ihema	tent
yanya	tomato
nyamasyo	turtle
nyamasyo	tortoise
rimo	work
kora	labour
kora	work
urutambi	trotyl
urutambi	tritol
urutambi	trinitrotoluol
urutambi	tolite
urutambi	trinol
urutambi	tritone
urutambi	2,4,6-trinitromethylbenzene
urutambi	tritolo
urutambi	TNT
urutambi	trinitrotoluene
urutambi	triton
urutambi	trotol
urutambi	2-methyl-1,3,5-trinitrobenzene
urutambi	trilite
cyane	very
cyane	quite
mwe	one
kwagatanu	Friday
za	come
za	happen
shinga	verb
yama	meat
shaka	wish
shaka	be willing to
shaka	want
Leta Zunze Ubumwe z’Amerika	US
Leta Zunze Ubumwe z’Amerika	USA
Leta Zunze Ubumwe z’Amerika	United States of America
Leta Zunze Ubumwe z’Amerika	United States
dogobe	donkey
dogobe	ass
dogobe	burro
andika	compose
andika	write
andika	create
yenyeli	star
jisho	eye
jisho	glyph
Kwamungu	Sunday
zovu	elephant
Kwakane	Thursday
rimo	labour
rimo	work
kuwa mbere	Monday
Kwakabiri	Tuesday
Kwagatandatu	Saturday
indorerwamo	looking-glass
ifu	flour
Accra	Accra
Azia	Asia
Ikerene	Ukraine
Gana	Ghana
ifromaje	cheese
amavuta	butter
Kwamungu	Sunday
ubuki	honey
inzovu	elephant
ubutare	iron
ichyuma	iron
Adamu	Adam
Finirande	Finland
Albaniya	Albania
Ubudage	Germany
Andora	Andorra
Angola	Angola
Argentina	Argentina
Belize	Belize
Burundi	Burundi
Bibiliya	Bible
Uburayi	Europe
Fiji	Fiji
Tayiwani	Formosa
Tayiwani	Taiwan
Tayiwani	Republic of China
Yugoslaviya	Yugoslavia
Yugosilaviya	Yugoslavia
Yesu	Jesus
Yugoslaviya	Yugoslavia
Yugosilaviya	Yugoslavia
Koweti	Kuwait
Nepal	Nepal
Nijeriya	Nigeria
Paris	Paris
Kenya	Kenya
Rwanda	Rwanda
Senegali	Senegal
Surinamu	Surinam
Surinamu	Suriname
Togo	Togo
Tokelawu	Tokelau
Tokelawu	Tokelau
Vanuwatu	Vanuatu
Zimbabwe	Zimbabwe
uruyuki	honey-bee
uruyuki	bee
uruyuki	honeybee
umunyafurika	African
ikinyafurika	African
ubuhinzi	farming
ubuhinzi	agriculture
aluminiyumu	aluminium
imodoka	motor car
imodoka	automobile
imodoka	car
umunzani	balance
umunzani	scales
umunwa	mouth
c4	mouth
c3	mouth
igisuguti	cookie
igisuguti	biscuit
ukuboko	arm
intebe	chair
ishati	shirt
ikyeri	beer
isaro	bead
kristendomu	Christianity
imbwa	dog
cumi	ten
ikyumweru	Sunday
zovu	elephant
ubukonje	cold
imbeho	cold
injangwe	cat
umuhungu	lad
umuhungu	boy
giheburayo	Hebrew
ururimi	tongue
ururimi	language
musaza wawe	brother
vi	knee
ivi	knee
gwe	leopardess
gwe	leopard
gwe	panther
igitabo	book
ikaramu	pencil
guge	ape
guge	primate
guge	monkey
kimalayi	Malay
umuhungu	lad
umuhungu	boy
umusozi	mountain
umugore	woman
koga	swim
icenda	nine
jisho	eye
igufa	bone
papuro	paper
igisokozo	comb
plage	beach
yirabura	black
mbere	first
kwagatatu	Wednesday
gushuhu	hot
gushuhu	warm
amagara	health
iteka	always
iteka	ever
ikote	greatcoat
ikote	overcoat
umutobe w'imbuto	juice
igihe	time
umwanya	time
ikibuno	backside
ikibuno	bottom
ikibuno	behind
ikibuno	bum
umutoza	coach
umutoza	trainer
inka	cow
imyambaro	clothes
imyambaro	clothing
umwenda	clothes
umwenda	clothing
mirongo ibiri	twenty
Afurika	Africa
ibere	udder
Baku	Baku
Berlin	Berlin
Bibiliya	Bible
Yeruzalemu	Jerusalem
Yerusalemu	Jerusalem
Yemeni	Yemen
Lativiya	Latvia
Peru	Peru
Uburusiya	Russia
Singapore	Singapore
Tanzaniya	Tanzania
Irigwe	Uruguay
Filipine	Philippines
Ubufaransa	France
idiyama	diamond
diyama	diamond
Mata	April
ikinyugunyugu	butterfly
munini	large
munini	big
kinini	large
kinini	big
papuro	paper
icupa	bottle
indobo	bucket
indobo	pail
imbegeti	bucket
imbegeti	pail
ingamiya	camel
ingamiya	dromedary
amazi	water
umwuka	air
imunani	eight
cumi ni munani	eighteen
mirongo imunani	fourscore
mirongo imunani	eighty
Kwamungu	Sunday
igihe	age
igihe	time
umwanya	age
umwanya	time
Kwakabiri	Tuesday
ijisho	eye
ibumba	loam
ibumba	clay
twe	head
sozi	mountain
umugi	city
umugi	town
kirura	bitter
mirongo ibiri	twenty
mirongo ibiri	score
cumi na kabiri	twelve
mirongo icenda	ninety
cumi na cenda	nineteen
umunsi	daylight
umunsi	day
umunsi	daytime
amafaranga	money
ti	tree
cumi	ten
kobwa	daughter
gufundu	eat
rya	eat
ubutare	iron
ichyuma	iron
nyamaswa	animal
koko	animal
buza	suppress
buza	interdict
buza	prohibit
buza	forbid
yemera	zebra
umutingito	earthquake
umutingito	quake
umutingito	temblor
zoka	snake
amenyo	tooth
Nyakanga	July
dogobe	donkey
dogobe	ass
Kamena	June
ishu	cabbage
Kinyarwanda	Rwanda
Kinyarwanda	Kinyarwanda
tabo	book
Ivi	knee
inzogera	bell
ka	cow
amaraso	blood
ingona	crocodile
kugura	buy
kugura	purchase
igihuru	bush
igihuru	shrub
intare	lion
gitoya	little
gitoya	small
to	little
to	small
ezi	month
muto	young
ta	milk
igiceri	coin
iteme	bridge
umugabo	male
umugabo	man
umuziki	music
fu	flour
fu	farina
swa	ant
ubuki	honey
juru	firmament
juru	sky
ukuguru	leg
zuru	nose
inkura	rhino
inkura	rhinoceros
joro	night
Ugushyingo	November
konkombure	cucumber
rimwe	one
cumi na rimwe	eleven
lac	lake
idirisha	window
dogobe	donkey
dogobe	ass
ririmba	sing
zoga	beer
zoga	ale
ikyeri	beer
ikyeri	ale
andika	write
rira	weep
rira	cry
tugu	shoulder
yanya	tomato
vuna	help
vuna	assist
gufasha	help
gufasha	assist
Kwambere	Monday
inyoni	bird
uruyuki	bee
gatanu	five
ku wa gatanu	Friday
maganatanu	five hundred
ikimera	plant
ikimera	herb
igisokozo	comb
ganza	hand
mirongo indwi	seventy
indwi	seven
karindwi	seven
Nzeli	September
mwene manyu	sister
inkoranyamagambo	dictionary
zovu	elephant
unyu	salt
mirongo ine	forty
umugongo	back
umugongo	dorsum
ku wa gatatu	Wednesday
ijana	hundred
umwambi	arrow
intebe	chair
kwagatandatu	Saturday
ifromaje	cheese
byina	dance
inyenzi	cockroach
mirongo itatu	thirty
cumi ne shatu	thirteen
igihumbi	thousand
vinegre	vinegar
naniro	lassitude
naniro	weariness
naniro	fatigue
tondo	morning
tondo	morn
ugutwi	ear
Gashyantare	February
gati	bread
ubukirisitu	Christianity
saha	hour
ku wa kane	Thursday
kane	four
cumi na kane	fourteen
soma	read
irabura	black
mirongo itandatu	sixty
gatandatu	six
cumi na gatandatu	sixteen
Ururimi	tongue
Ururimi	language
Mutarama	January
Ubudagi	Germany
France	France
ikiyarwanda	Ruanda
ikiyarwanda	Kinyarwanda
umugore	woman
ibinyamakuru	newspaper
ibinyamakuru	paper
kinyaRwanda	Kinyarwanda
kinyaRwanda	Kinyarwanda
aduka	appear suddenly
aduka	be introduced
aguka	widened
agura	widen
agura	make wider
ahukana	separated
ahukana	divorced
aka	burning
aka	be started
aka	take away
aka	take from
akira	receive
akira	welcome
akira	accept
amamara	spread everywhere
amamara	become known
amamaza	advertise
amamaza	publish
amamaza	make known
amamaza	declare
amamaza	campaign
ambara	wear
ambarwa	worn
ambaza	pray
ambaza	petition
ambaza	call upon
ambaza	supplicate
ambaza	implore
ambika	clothe
ambura	undress
andika	write
andikira	write to
andikira	write for
andikira	write on
andikisha	register
andikishwa	registered
andikwa	written
anga	hate
anga	dislike
anga	refuse
anga	reject
angana	hate each other
angira	resist
angira	refuse to
angirika	destroyed
angirika	damaged
angirira	resist
angirira	refuse to
angiza	damage
angiza	waste
angiza	destroy
angwa	hated
angwa	dislike
angwa	refused
anika	expose
anzura	decide
anzura	conclude
asama	open one’s mouth
atsa	start
atsa	set fire to
atswa	started
atswa	be burned
ayura	yawn
ba	be
ba	live
ba	exist
babara	in pain
babara	suffer
babara	hurt
babarira	forgive
babarira	forgive me
babarirwa	forgiven
babaza	hurt
babaza	offend
babaza	cause suffering
baga	butcher
baga	operate on
baga	remove skin
bagara	weed
bagarwa	weeded
bagwa	butchered
bamba	crucify
bana	live together
bangikanya	parallel
banguka	hurry
banguka	go quickly
banguka	rush
banziriza	precede
bara	count
barwa	counted
basha	able
basha	capable
batiza	baptise
batizwa	baptised
baza	ask
baza	question
baza	enquire
baza	query
bengerana	shine
bengerana	gleam
bera	unjust
berama	tilt
berama	slope
berwa	fit
berwa	be well dressed
berwa	be smart
beshya	lie
beshya	deceive
beshyera	lie about
biba	plant
biba	sow
biha	bad tasting
bika	crow
bika	put away
bika	store
bika	keep
bika	save
bira	boiling
birindura	roll along
bisikana	bypass
biza	boil
bobera	soft
bobera	wet
bobeza	make soft
bobeza	wet
boha	bind
boha	tie
boha	weave
boha	knit
bohekanya	braid
bohekanya	twist
bohora	release
bohora	liberate
bohora	untie
bona	see
bona	find
bona	get
bonana	see each other
boneka	visible
boneka	appear
boneka	show up
boneka	be available
bonera	find
bonera	recover
boneza	make clean
boneza	visible
boneza	pure
boneza	target
boneza	go straight
bonwa	seen
bora	rot
bora	decay
boroga	howl
boroga	wail
bumba	pottery
bumbira	bring together
bumbira	unite
bunga	wander
bura	lack
bura	lose
burira	warn
burira	alert
buyera	wander about
buza	forbid
buza	prevent
buza	stop
buzwa	forbidden
bwagura	give birth
bwegeka	pregnant
bwira	tell
bwiriza	preach
bwiriza	incite
byara	give birth
byara	deliver
byibuha	gain weight
byibuha	become heavier
byimba	swell
byina	dance
byuka	wake up
byuka	arise
byutsa	wake someone up
ca	cut
ca	tear
ca	tell a story
cagagura	chop up
cagagura	parse
cana	switch on
cana	ignite
cana	light
canwa	switched on
canwa	ignited
capa	print
capwa	printed
ceceka	silent
ceceka	quiet
ceceka	stop talking
cenga	trick
cenga	dodge
cengera	infiltrate
cengeza	insert
cika	torn
cika	escape
cika	survive
cikwa	make an error
cikwa	err
cikwa	miscalculate
cira	spit
ciririkanya	bargain
cirwa	sentenced
cogora	reduce
cogora	less
cogora	decreased
cogoza	reduce
cogoza	lessen
cogoza	decrease
cogoza	weaken
comeka	plug in
comeka	insert
comekora	unplug
comekora	remove
cucuma	mash
cukura	dig a hole
cukura	mine
cumba	give off smoke
cumita	penetrate
cumita	pierce
cumura	sin
cunga	manage
cungura	redeem
cura	forge
curanga	play an instrument
curika	turn upside down
curuza	do business
curuza	trade
curuzwa	traded
cuya	fade
cya	good morning
cya	become clean
cyaha	rebuke
cyocyora	jest
cyocyora	poke fun at
cyura	bring back
daha	decant
dahemuka	faithful
dedemanga	babble
dedemanga	stammer
dedemanga	stutter
deha	lazy
dindiza	hinder
doda	sew
dodwa	sewed
dudubiza	well up
dudubiza	spring up
egama	leaning
egera	approach
egera	draw near
egeranya	bring together
eguka	straighten up
emera	accept
emera	agree
emera	admit
emera	be willing
emerera	allow
emerera	permit
emerera	promise
enda	commit adultery
enda	fornicate
enda	about to
enga	brew beer
era	white
era	pure
era	innocent
era	holy
ereka	show
erekera	turn toward
erekeza	direct
ererana	very white
ererana	very pure
esa	smash
esa	break
eza	make pure
eza	purify
eza	exonerate
eza	whiten
eza	harvest
ezwa	purified
ezwa	exonerated
fana	support
fasha	help
fasha	assist
fashisha	help
fashwa	helped
fashwa	assisted
fata	take
fata	catch
fata	grasp
fatanya	cooperate
fatanya	share
fatanya	partner
fatanya	join
finda	encode
finda	encrypt
finda	hide
findura	decode
findura	uncover
findura	decrypt
findura	unhide
fite	have
fora	aim at
fora	guess
fotorwa	photographed
fudika	err
fudika	make a mistake
funga	close
funga	shut
funga	imprison
funga	lock
funga	logout
funga	fast
fungana	narrow
funguka	open
funguka	unlocked
fungura	open
fungura	login
fungura	dilute
fungura	have a meal
fungura	eat
fungura	dine
fungurwa	opened
fungwa	closed
fungwa	shut
fungwa	imprisoned
fungwa	locked
funyanga	knead
fura	wash clothes
gaba	give
gaba	deploy
gaba	put forth
gabanuka	diminished
gabanuka	reduced
gabanuka	decreased
gabanura	reduce
gabanura	lessen
gabanura	decrease
gabanura	weaken
gabanya	divide
gabanya	allot
gabanya	reduce
gabanyika	divided
gabanyika	allotted
gabanyika	reduced
gabiza	report on
gabiza	inform on
gaburira	feed
gaburira	give food
gaburirwa	fed
gaga	spoil
gaga	be spoiled
gagara	become stiff
gagara	stiffen
gagaza	make stiff
gagaza	stiffen
gamba	talk
gambana	betray
gambirira	decide
gambirira	determine
gambirira	plan
gambirira	plot
gambirira	be intent
gana	go forward
gana	advance
gana	proceed
ganira	chat
ganira	converse
ganira	discuss
ganya	moan
ganya	groan
ganya	wail
ganya	grieve
ganya	lament
ganyira	complain
ganza	conquer
ganza	rout
ganza	dominate
ganza	reign
ganzwa	conquered
garagara	visible
garagara	clear
garagara	obvious
garagara	evident
garagaza	indicate
garagaza	visible
garagaza	clear
garagazwa	clear
garagazwa	obvious
garuka	return here
garuka	review
gashya	row
gashya	paddle
gaya	ungrateful
gaya	unappreciative
gena	decide
gena	assign
gena	determine
genda	go
genda	leave
genda	walk
gendagenda	walk about
gendana	go together
gendana	accompany
gendana	escort
gendanwa	accompanied
gendanwa	escorted
genera	allocate
genera	designate
genga	legislate
genga	govern
gengarara	become wide
gengarara	widespread
genza	demonstrate
genza	prove
genza	show how
genzura	inspect
genzura	audit
genzura	investigate
gera	reach
gera	arrive
gera	measure
gerageza	try
gerageza	attempt
gerageza	tempt
gereka	stack
gereka	append
gereka	bargain
gereranya	compare
gereranya	estimate
gerwa	reached
geza	reach
geza	until
gingimira	stutter
gingimira	stammer
gingimira	hesitate
gingimiranya	hesitate
gingimiranya	be fearful
gira	have
gira	make
girwa	made of
girwa	composed of
gisha inama	ask for advice
gisha inama	consult
gishwa inama	consulted
goma	rebel
goma	disobey
gomba	have to
gomba	need to
gomba	must
gomba	should
gomba	owe
gora	difficult
gora	troublesome
gorama	bend
